ts,ticker,price,source
2025-08-20 15:32:44,AAPL,225.75,yfinance
2025-08-20 15:32:44,JPM,nan,yfinance
2025-08-20 15:32:44,LMT,nan,yfinance
2025-08-20 15:32:44,NVDA,nan,yfinance
2025-08-20 15:32:44,PLTR,nan,yfinance
2025-08-20 15:32:44,QUBT,nan,yfinance
2025-08-20 15:33:14,AAPL,nan,yfinance
2025-08-20 15:33:14,JPM,nan,yfinance
2025-08-20 15:33:14,LMT,nan,yfinance
2025-08-20 15:33:14,NVDA,175.97,yfinance
2025-08-20 15:33:14,PLTR,159.35,yfinance
2025-08-20 15:33:14,QUBT,nan,yfinance
2025-08-20 15:33:45,AAPL,nan,yfinance
2025-08-20 15:33:45,JPM,nan,yfinance
2025-08-20 15:33:45,LMT,nan,yfinance
2025-08-20 15:33:45,NVDA,nan,yfinance
2025-08-20 15:33:45,PLTR,159.26,yfinance
2025-08-20 15:33:45,QUBT,nan,yfinance
2025-08-20 15:34:17,AAPL,nan,yfinance
2025-08-20 15:34:17,JPM,nan,yfinance
2025-08-20 15:34:17,LMT,nan,yfinance
2025-08-20 15:34:17,NVDA,176.0,yfinance
2025-08-20 15:34:17,PLTR,nan,yfinance
2025-08-20 15:34:17,QUBT,nan,yfinance
2025-08-20 15:34:47,AAPL,225.7477,yfinance
2025-08-20 15:34:47,JPM,nan,yfinance
2025-08-20 15:34:47,LMT,nan,yfinance
2025-08-20 15:34:47,NVDA,175.965,yfinance
2025-08-20 15:34:47,PLTR,nan,yfinance
2025-08-20 15:34:47,QUBT,nan,yfinance
